X_Coordinate(nm),Y_Coordinate(nm),Cr_Composition
38.123,0.26703,1
38.249,0.26675,1
38.374,0.26647,1
38.5,0.2662,1
38.625,0.26594,1
38.75,0.26568,1
38.876,0.26544,1
39.001,0.26521,1
39.127,0.26499,1
39.252,0.26477,1
39.378,0.26457,1
39.503,0.26438,1
39.629,0.2642,1
39.754,0.26404,1
39.88,0.26388,1
40.005,0.26374,1
40.131,0.26361,1
40.256,0.26349,1
40.382,0.26339,1
40.507,0.2633,1
40.633,0.26322,1
40.758,0.26317,1
40.884,0.26313,1
41.009,0.26311,1
41.135,0.26311,1
41.26,0.26313,1
41.386,0.26317,1
41.511,0.26324,1
41.637,0.26333,1
41.762,0.26346,1
41.888,0.26362,1
42.013,0.26381,1
42.139,0.26403,1
42.264,0.26429,1
42.39,0.2646,1
42.515,0.26494,1
42.641,0.26533,1
42.766,0.26576,1
42.891,0.26623,1
43.017,0.26676,1
43.142,0.26732,0.998553943552434
43.267,0.26793,0.995277818647339
43.393,0.26858,0.99255868601169
43.518,0.26927,0.991377935353862
43.643,0.27,0.989997097801784
43.768,0.27075,0.989975010963487
43.893,0.27154,0.992977454032028
44.018,0.27235,0.994177934547037
44.143,0.27317,0.996828420228688
44.268,0.274,0.998765537965104
44.393,0.27484,1
44.518,0.27568,1
44.642,0.27651,1
44.767,0.27732,1
44.892,0.27811,1
45.016,0.27888,1
45.141,0.27962,1
45.265,0.28032,1
45.39,0.28097,1
45.514,0.28158,1
45.638,0.28215,1
45.763,0.28266,1
45.887,0.28311,1
46.011,0.28351,1
46.135,0.28385,1
46.259,0.28412,1
46.383,0.28433,1
46.508,0.28448,1
46.632,0.28455,1
46.756,0.28455,1
46.88,0.28448,1
47.004,0.28433,1
47.128,0.2841,1
47.252,0.28379,1
47.376,0.28339,1
47.5,0.28291,1
47.624,0.28233,1
47.748,0.28166,1
47.872,0.28088,1
47.997,0.28,1
48.121,0.27901,1
48.245,0.27791,1
48.369,0.27669,1
48.494,0.27534,1
48.618,0.27387,1
48.743,0.27228,1
48.868,0.27056,1
48.993,0.26872,1
49.118,0.26676,1
49.243,0.26469,1
49.368,0.26251,1
49.494,0.26025,1
49.62,0.25791,1
49.746,0.25549,1
49.873,0.25295,1
50,0.25,1
0,0.375,1
0.12664,0.37698,1
0.25313,0.37849,1
0.37948,0.37977,1
0.50573,0.38091,1
0.63188,0.38195,1
0.75796,0.3829,1
0.88397,0.38379,1
1.0099,0.38461,1
1.1358,0.38538,1
1.2617,0.3861,1
1.3875,0.38678,1
1.5133,0.38742,1
1.6391,0.38804,1
1.7649,0.38864,1
1.8907,0.38923,1
2.0164,0.38982,1
2.1422,0.3904,1
2.2679,0.39098,1
2.3936,0.39158,1
2.5193,0.39219,1
2.645,0.39282,1
2.7707,0.39346,1
2.8964,0.39413,1
3.022,0.39483,1
3.1477,0.39555,1
3.2733,0.3963,1
3.3989,0.39707,1
3.5245,0.39787,1
3.65,0.3987,1
3.7756,0.39955,1
3.9011,0.40042,1
4.0266,0.40132,1
4.152,0.40223,1
4.2774,0.40315,1
4.4028,0.40408,1
4.5282,0.40502,1
4.6535,0.40596,1
4.7788,0.4069,1
4.904,0.40782,1
